metro,inc_total_2012,inc_employee_2012,inc_empr_2012,inc_own_2012,inc_total_2014,inc_employee_2014,inc_employer_2014,inc_own_2014,inc_total_2016,inc_employee_2016,inc_employer_2016,inc_own_2016,host_group
Belém (PA),2507.0,2505.0,7070.0,1960.0,2528.0,2574.0,6223.0,1918.0,2460.0,2721.0,4380.0,1668.0,Non-Host
Fortaleza (CE),2653.0,2575.0,6437.0,2281.0,2689.0,2539.0,7640.0,2212.0,2653.0,2727.0,6862.0,1843.0,Metro Host
Recife (PE),3553.0,3453.0,11447.0,2394.0,3917.0,3872.0,12135.0,2922.0,3020.0,2859.0,12083.0,2299.0,Metro Host
Salvador (BA),2963.0,3043.0,6941.0,2088.0,3113.0,3165.0,7721.0,2420.0,2990.0,3049.0,6727.0,2112.0,Metro Host
Grande Vitória (ES),3315.0,3210.0,7615.0,2983.0,3701.0,3400.0,12030.0,3182.0,3424.0,3298.0,8038.0,2678.0,Non-Host
Goiânia (GO),3538.0,3191.0,8182.0,3300.0,3690.0,3348.0,8410.0,3568.0,3410.0,3166.0,7644.0,2991.0,Non-Host
