metro,emp_2012,contrib_2012,noncontrib_2012,emp_2014,contrib_2014,noncontrib_2014,emp_2016,contrib_2016,noncontrib_2016,host_group,informal_2012,informal_2014,informal_2016
Belém (PA),947.0,485.0,462.0,987.0,513.0,475.0,951.0,502.0,450.0,Non-Host,48.7856388595565,48.12563323201621,47.3186119873817
Fortaleza (CE),1643.0,975.0,669.0,1692.0,1009.0,683.0,1653.0,1001.0,651.0,Metro Host,40.71819841752891,40.36643026004728,39.382940108892925
Recife (PE),1649.0,1085.0,564.0,1599.0,1079.0,521.0,1564.0,1033.0,531.0,Metro Host,34.202546998180715,32.58286429018136,33.95140664961637
Salvador (BA),1815.0,1108.0,706.0,1849.0,1257.0,592.0,1667.0,1090.0,577.0,Metro Host,38.89807162534436,32.01730665224446,34.613077384523095
Grande Vitória (ES),893.0,659.0,235.0,871.0,651.0,220.0,846.0,620.0,226.0,Non-Host,26.31578947368421,25.25832376578645,26.713947990543733
Goiânia (GO),1211.0,795.0,417.0,1245.0,870.0,375.0,1219.0,799.0,420.0,Non-Host,34.43435177539224,30.120481927710845,34.454470877768664
